"hhid","parcelID","t0_hhid","s2aq05_1","s2aq03_3","a2bq1owned","s2aq03_1","s2aq04","s2aq05","s2aq06","s2aq07","s2aq08","a2bq09","a2bq10","a2bq11","a2bq12a","a2bq12b","a2bq12a_1","a2bq12b_1","a2aq18","s2aq20","s2aq21","s2aq22a","s2aq22b"
"20dab0d44f7d4d1c866c7ba5d226f65b",3,"H1250",1,1,2,1,,1,2,4,8,100,100,1,1,1,,,2,2,,,
"20dc85914d764218a363309a0e25cef1",2,"H0330",1,1,2,1,,1,4,3,8,0,10,1,1,1,,,2,2,,,
"2140c5c82fb2488b8e6036d60d423225",2,"H3220",1,1,2,2,,0.25,3,1,8,100000,0,1,96,1,,,2,2,,,
"21944e9e090548d9a50673fe2601883a",5,"H2353",7,3,2,,,0.5,1,4,8,24000,0,1,96,1,,,2,2,,,
"21944e9e090548d9a50673fe2601883a",6,"H2353",7,3,2,,,0.5,2,4,8,40000,0,2,96,1,,,2,2,,,
"219f2a7d3ec84bada34f1484f4c83d40",7,"H0779",1,3,2,,,0.5,2,1,8,60000,0,2,1,96,,,2,2,,,
"21eb4154ed39408eaeb0ca0f264c67f0",1,"H0331",1,1,2,1,,3,1,1,9,,15,2,1,1,,,2,2,,,
"21f10611df214254b3541c9eb5c93c13",5,"H1862",1,1,2,1,,1,3,1,8,40000,1,1,96,5,,2,2,2,,,
"21f10611df214254b3541c9eb5c93c13",6,"H1862",1,1,2,3,,0.5,3,1,8,40000,0,1,96,1,,,2,2,,,
"21f10611df214254b3541c9eb5c93c13",7,"H1862",1,1,2,1,,1,2,4,8,40000,0,2,96,5,,3,2,2,,,
"222ddd7beeb6427cac3030800bd3ab80",1,"H1452",1,1,2,1,0.16,0.25,1,4,8,140000,10,1,1,2,,,2,1,1,1,
"23209e24c96541a1af7969ab4c73d35c",1,"H3190",2,2,2,,,,,,,,2,1,,,,,,,,,
"2342cd7d1e3d4166aab8918e8555d0d0",2,"H0963",2,1,2,3,,0.3,3,1,9,,3,1,1,1,,,2,2,,,
"2342f7a273b3482ca0d6fa0f87a07583",2,"H3138",1,1,2,1,,2,1,1,8,250000,10,1,1,5,,3,2,2,,,
"2354aa9ee2ae4dc7b1401ec1ea40ac5b",1,"H2256",1,1,2,3,,1.5,4,4,9,,2,2,1,1,,,2,2,,,
"23825fe7c5d9468fac206ac53bb12e1a",2,"H1657",2,1,2,3,,0.75,3,4,9,,15,2,5,1,3,,2,2,,,
"23b70f075e54479b95938797c69e4fc0",2,"H2632",1,1,2,1,,0.25,3,1,9,,2,1,1,96,,,2,2,,,
"2451893ed622478f9ad724cc2eaadfb4",4,"H1836",2,3,2,,,0.75,3,4,8,0,2,2,1,1,,,2,2,,,
"246c247a85b54d91bc96fbf0eff7e646",1,"H1625",1,1,2,1,0.25,0.5,1,2,8,40000,1,1,5,1,3,,2,2,,,
"246c247a85b54d91bc96fbf0eff7e646",3,"H1625",1,3,2,,0.42,0.5,1,4,8,50000,1,2,5,1,3,,2,2,,,
"249c428c330a48f2a07de4ea7142aed5",1,"H1385",1,1,2,3,,1,3,4,8,50000,1,2,1,96,,,2,2,,,
"24a4a03559fd4791a2128a52f24e0435",1,"H0782",1,1,2,3,,0.5,2,1,9,,4,1,1,1,,,2,2,,,
"24a4a03559fd4791a2128a52f24e0435",3,"H0782",1,2,2,,,,,,,,4,1,,,,,,,,,
"254b5177919248e58082e007fa510e11",1,"H0998",1,1,2,1,,0.5,2,4,8,0,2,1,1,1,,,3,2,,,
"2628668b68a743a887d2ac87bc06bd7f",2,"H1219",1,1,2,1,,3,4,1,9,,3,1,1,1,,,2,2,,,
"269057df6c874f1da1b7d05fd9c2907c",1,"H3177",1,1,2,1,0.37,0.5,1,1,9,,7,2,1,96,,,2,2,,,
"26a74b4ae08b47dd8bb32c4f2017a928",2,"H2509",1,1,2,1,2.5,2.5,1,4,9,,32,1,1,1,,,2,2,,,
"27152e297a8c4597b78ec2bb9ee0c49d",1,"H2562",1,1,2,1,,1,3,1,8,300000,2,1,1,1,,,2,2,,,
"27b502370a394aa0ae44daede183990c",2,"H0818",5,1,2,1,,0.5,1,3,8,0,0,1,1,1,,,2,2,,,
"27c26465f6b24f4b905d7e487640e1cf",2,"S9999024",,,2,1,,1,4,1,8,150000,2,1,1,1,,,2,2,,,
